PyTorch Version: 1.13.1
CUDA device available: True
Using CUDA device: cuda:0
Random Seed: 1
Task Importance Weight: 0
Output Path: cacd_coral_basic
Script: cacd-coral-copy.py
Epoch: 001/050 | Batch 0000/0448 | Cost: 35.4081
Epoch: 001/050 | Batch 0050/0448 | Cost: 32.9263
Epoch: 001/050 | Batch 0100/0448 | Cost: 32.6684
Epoch: 001/050 | Batch 0150/0448 | Cost: 32.2569
Epoch: 001/050 | Batch 0200/0448 | Cost: 31.9108
Epoch: 001/050 | Batch 0250/0448 | Cost: 31.5523
Epoch: 001/050 | Batch 0300/0448 | Cost: 31.0847
Epoch: 001/050 | Batch 0350/0448 | Cost: 30.8538
Epoch: 001/050 | Batch 0400/0448 | Cost: 30.6455
MAE/RMSE: | Current Valid: 13.86/17.06 Ep. 0 | Best Valid : 13.86/17.06 Ep. 0
Time elapsed: 19.79 min
Epoch: 002/050 | Batch 0000/0448 | Cost: 46.7290
Epoch: 002/050 | Batch 0050/0448 | Cost: 30.3616
Epoch: 002/050 | Batch 0100/0448 | Cost: 30.0365
Epoch: 002/050 | Batch 0150/0448 | Cost: 29.8329
Epoch: 002/050 | Batch 0200/0448 | Cost: 29.4512
Epoch: 002/050 | Batch 0250/0448 | Cost: 29.0887
Epoch: 002/050 | Batch 0300/0448 | Cost: 29.1234
Epoch: 002/050 | Batch 0350/0448 | Cost: 28.5896
Epoch: 002/050 | Batch 0400/0448 | Cost: 28.4650
MAE/RMSE: | Current Valid: 10.68/13.13 Ep. 1 | Best Valid : 10.68/13.13 Ep. 1
Time elapsed: 57.77 min
Epoch: 003/050 | Batch 0000/0448 | Cost: 111.7176
Epoch: 003/050 | Batch 0050/0448 | Cost: 27.7062
Epoch: 003/050 | Batch 0100/0448 | Cost: 27.6015
Epoch: 003/050 | Batch 0150/0448 | Cost: 27.2886
Epoch: 003/050 | Batch 0200/0448 | Cost: 27.0417
Epoch: 003/050 | Batch 0250/0448 | Cost: 26.8361
Epoch: 003/050 | Batch 0300/0448 | Cost: 26.2403
Epoch: 003/050 | Batch 0350/0448 | Cost: 25.8328
Epoch: 003/050 | Batch 0400/0448 | Cost: 25.2146
MAE/RMSE: | Current Valid: 9.08/11.11 Ep. 2 | Best Valid : 9.08/11.11 Ep. 2
Time elapsed: 68.39 min
Epoch: 004/050 | Batch 0000/0448 | Cost: 82.0015
Epoch: 004/050 | Batch 0050/0448 | Cost: 24.9506
Epoch: 004/050 | Batch 0100/0448 | Cost: 25.4277
Epoch: 004/050 | Batch 0150/0448 | Cost: 24.9604
Epoch: 004/050 | Batch 0200/0448 | Cost: 24.9406
Epoch: 004/050 | Batch 0250/0448 | Cost: 24.7234
Epoch: 004/050 | Batch 0300/0448 | Cost: 25.3081
Epoch: 004/050 | Batch 0350/0448 | Cost: 24.4151
Epoch: 004/050 | Batch 0400/0448 | Cost: 24.1335
MAE/RMSE: | Current Valid: 9.47/11.77 Ep. 3 | Best Valid : 9.08/11.11 Ep. 2
Time elapsed: 79.35 min
Epoch: 005/050 | Batch 0000/0448 | Cost: 82.1762
Epoch: 005/050 | Batch 0050/0448 | Cost: 23.7396
Epoch: 005/050 | Batch 0100/0448 | Cost: 23.8910
Epoch: 005/050 | Batch 0150/0448 | Cost: 23.2069
Epoch: 005/050 | Batch 0200/0448 | Cost: 22.9660
Epoch: 005/050 | Batch 0250/0448 | Cost: 23.5231
Epoch: 005/050 | Batch 0300/0448 | Cost: 22.8896
Epoch: 005/050 | Batch 0350/0448 | Cost: 22.7654
Epoch: 005/050 | Batch 0400/0448 | Cost: 22.9063
MAE/RMSE: | Current Valid: 8.91/10.90 Ep. 4 | Best Valid : 8.91/10.90 Ep. 4
Time elapsed: 89.98 min
Epoch: 006/050 | Batch 0000/0448 | Cost: 53.4640
Epoch: 006/050 | Batch 0050/0448 | Cost: 22.3509
Epoch: 006/050 | Batch 0100/0448 | Cost: 22.0566
Epoch: 006/050 | Batch 0150/0448 | Cost: 21.7805
Epoch: 006/050 | Batch 0200/0448 | Cost: 23.2066
Epoch: 006/050 | Batch 0250/0448 | Cost: 21.8186
Epoch: 006/050 | Batch 0300/0448 | Cost: 22.2294
Epoch: 006/050 | Batch 0350/0448 | Cost: 21.7686
Epoch: 006/050 | Batch 0400/0448 | Cost: 22.5685
MAE/RMSE: | Current Valid: 8.24/10.16 Ep. 5 | Best Valid : 8.24/10.16 Ep. 5
Time elapsed: 100.47 min
Epoch: 007/050 | Batch 0000/0448 | Cost: 60.3047
Epoch: 007/050 | Batch 0050/0448 | Cost: 20.7865
Epoch: 007/050 | Batch 0100/0448 | Cost: 21.8110
Epoch: 007/050 | Batch 0150/0448 | Cost: 21.9105
Epoch: 007/050 | Batch 0200/0448 | Cost: 21.1499
Epoch: 007/050 | Batch 0250/0448 | Cost: 20.6059
Epoch: 007/050 | Batch 0300/0448 | Cost: 21.0727
Epoch: 007/050 | Batch 0350/0448 | Cost: 20.1115
Epoch: 007/050 | Batch 0400/0448 | Cost: 21.5282
MAE/RMSE: | Current Valid: 8.33/10.46 Ep. 6 | Best Valid : 8.24/10.16 Ep. 5
Time elapsed: 110.97 min
Epoch: 008/050 | Batch 0000/0448 | Cost: 63.4634
Epoch: 008/050 | Batch 0050/0448 | Cost: 20.0314
Epoch: 008/050 | Batch 0100/0448 | Cost: 21.2421
Epoch: 008/050 | Batch 0150/0448 | Cost: 19.7810
Epoch: 008/050 | Batch 0200/0448 | Cost: 20.4247
Epoch: 008/050 | Batch 0250/0448 | Cost: 20.4559
Epoch: 008/050 | Batch 0300/0448 | Cost: 20.6007
Epoch: 008/050 | Batch 0350/0448 | Cost: 19.4436
Epoch: 008/050 | Batch 0400/0448 | Cost: 19.7900
MAE/RMSE: | Current Valid: 7.72/9.67 Ep. 7 | Best Valid : 7.72/9.67 Ep. 7
Time elapsed: 121.71 min
Epoch: 009/050 | Batch 0000/0448 | Cost: 43.4996
Epoch: 009/050 | Batch 0050/0448 | Cost: 20.0416
Epoch: 009/050 | Batch 0100/0448 | Cost: 19.6058
Epoch: 009/050 | Batch 0150/0448 | Cost: 19.2271
Epoch: 009/050 | Batch 0200/0448 | Cost: 19.5966
Epoch: 009/050 | Batch 0250/0448 | Cost: 20.8249
Epoch: 009/050 | Batch 0300/0448 | Cost: 19.4739
Epoch: 009/050 | Batch 0350/0448 | Cost: 19.2542
Epoch: 009/050 | Batch 0400/0448 | Cost: 18.4881
MAE/RMSE: | Current Valid: 7.64/9.52 Ep. 8 | Best Valid : 7.64/9.52 Ep. 8
Time elapsed: 132.52 min
Epoch: 010/050 | Batch 0000/0448 | Cost: 34.7577
Epoch: 010/050 | Batch 0050/0448 | Cost: 19.0612
Epoch: 010/050 | Batch 0100/0448 | Cost: 19.3082
Epoch: 010/050 | Batch 0150/0448 | Cost: 18.9776
Epoch: 010/050 | Batch 0200/0448 | Cost: 18.9169
Epoch: 010/050 | Batch 0250/0448 | Cost: 18.9229
Epoch: 010/050 | Batch 0300/0448 | Cost: 19.5452
Epoch: 010/050 | Batch 0350/0448 | Cost: 19.5206
Epoch: 010/050 | Batch 0400/0448 | Cost: 18.9331
MAE/RMSE: | Current Valid: 7.70/9.73 Ep. 9 | Best Valid : 7.64/9.52 Ep. 8
Time elapsed: 281.69 min
Epoch: 011/050 | Batch 0000/0448 | Cost: 37.8337
Epoch: 011/050 | Batch 0050/0448 | Cost: 17.9818
Epoch: 011/050 | Batch 0100/0448 | Cost: 18.4929
Epoch: 011/050 | Batch 0150/0448 | Cost: 18.6087
Epoch: 011/050 | Batch 0200/0448 | Cost: 18.1712
Epoch: 011/050 | Batch 0250/0448 | Cost: 18.9216
Epoch: 011/050 | Batch 0300/0448 | Cost: 19.7463
Epoch: 011/050 | Batch 0350/0448 | Cost: 17.9577
Epoch: 011/050 | Batch 0400/0448 | Cost: 18.5746
MAE/RMSE: | Current Valid: 7.43/9.31 Ep. 10 | Best Valid : 7.43/9.31 Ep. 10
Time elapsed: 292.00 min
Epoch: 012/050 | Batch 0000/0448 | Cost: 38.0953
Epoch: 012/050 | Batch 0050/0448 | Cost: 17.2565
Epoch: 012/050 | Batch 0100/0448 | Cost: 17.6260
Epoch: 012/050 | Batch 0150/0448 | Cost: 17.8331
Epoch: 012/050 | Batch 0200/0448 | Cost: 18.5355
Epoch: 012/050 | Batch 0250/0448 | Cost: 17.7360
Epoch: 012/050 | Batch 0300/0448 | Cost: 16.8659
Epoch: 012/050 | Batch 0350/0448 | Cost: 17.9730
Epoch: 012/050 | Batch 0400/0448 | Cost: 18.4740
MAE/RMSE: | Current Valid: 7.30/9.24 Ep. 11 | Best Valid : 7.30/9.24 Ep. 11
Time elapsed: 302.14 min
Epoch: 013/050 | Batch 0000/0448 | Cost: 44.6821
Epoch: 013/050 | Batch 0050/0448 | Cost: 17.5000
Epoch: 013/050 | Batch 0100/0448 | Cost: 17.1389
Epoch: 013/050 | Batch 0150/0448 | Cost: 16.7280
Epoch: 013/050 | Batch 0200/0448 | Cost: 17.3915
Epoch: 013/050 | Batch 0250/0448 | Cost: 18.4588
Epoch: 013/050 | Batch 0300/0448 | Cost: 17.2774
Epoch: 013/050 | Batch 0350/0448 | Cost: 17.7513
Epoch: 013/050 | Batch 0400/0448 | Cost: 17.0497
MAE/RMSE: | Current Valid: 7.29/9.20 Ep. 12 | Best Valid : 7.29/9.20 Ep. 12
Time elapsed: 312.42 min
Epoch: 014/050 | Batch 0000/0448 | Cost: 41.7144
Epoch: 014/050 | Batch 0050/0448 | Cost: 17.9477
Epoch: 014/050 | Batch 0100/0448 | Cost: 16.5342
Epoch: 014/050 | Batch 0150/0448 | Cost: 18.0493
Epoch: 014/050 | Batch 0200/0448 | Cost: 16.8857
Epoch: 014/050 | Batch 0250/0448 | Cost: 17.5383
Epoch: 014/050 | Batch 0300/0448 | Cost: 16.8497
Epoch: 014/050 | Batch 0350/0448 | Cost: 16.2588
Epoch: 014/050 | Batch 0400/0448 | Cost: 17.2669
MAE/RMSE: | Current Valid: 7.18/9.16 Ep. 13 | Best Valid : 7.18/9.16 Ep. 13
Time elapsed: 322.71 min
Epoch: 015/050 | Batch 0000/0448 | Cost: 35.3058
Epoch: 015/050 | Batch 0050/0448 | Cost: 17.0412
Epoch: 015/050 | Batch 0100/0448 | Cost: 16.3089
Epoch: 015/050 | Batch 0150/0448 | Cost: 17.3813
Epoch: 015/050 | Batch 0200/0448 | Cost: 16.7169
Epoch: 015/050 | Batch 0250/0448 | Cost: 16.3184
Epoch: 015/050 | Batch 0300/0448 | Cost: 16.8638
Epoch: 015/050 | Batch 0350/0448 | Cost: 16.9428
Epoch: 015/050 | Batch 0400/0448 | Cost: 17.0959
