
Epoch: 001/040 | Batch 0000/0448 | Cost: 35.5924
Epoch: 001/040 | Batch 0050/0448 | Cost: 32.9183
Epoch: 001/040 | Batch 0100/0448 | Cost: 32.6018
Epoch: 001/040 | Batch 0150/0448 | Cost: 32.2626
Epoch: 001/040 | Batch 0200/0448 | Cost: 32.0403
Epoch: 001/040 | Batch 0250/0448 | Cost: 31.6404
Epoch: 001/040 | Batch 0300/0448 | Cost: 31.4236
Epoch: 001/040 | Batch 0350/0448 | Cost: 31.0487
Epoch: 001/040 | Batch 0400/0448 | Cost: 30.8369
MAE/RMSE: | Current Valid: 15.19/18.51 Ep. 0 | Best Valid : 15.19/18.51 Ep. 0
Time elapsed: 6.24 min
Epoch: 002/040 | Batch 0000/0448 | Cost: 49.9821
Epoch: 002/040 | Batch 0050/0448 | Cost: 30.3882
Epoch: 002/040 | Batch 0100/0448 | Cost: 30.0046
Epoch: 002/040 | Batch 0150/0448 | Cost: 29.8100
Epoch: 002/040 | Batch 0200/0448 | Cost: 29.6264
Epoch: 002/040 | Batch 0250/0448 | Cost: 29.1358
Epoch: 002/040 | Batch 0300/0448 | Cost: 29.1418
Epoch: 002/040 | Batch 0350/0448 | Cost: 28.7301
Epoch: 002/040 | Batch 0400/0448 | Cost: 28.6444
MAE/RMSE: | Current Valid: 9.88/11.63 Ep. 1 | Best Valid : 9.88/11.63 Ep. 1
Time elapsed: 11.91 min
Epoch: 003/040 | Batch 0000/0448 | Cost: 51.7053
Epoch: 003/040 | Batch 0050/0448 | Cost: 28.4443
Epoch: 003/040 | Batch 0100/0448 | Cost: 27.9578
Epoch: 003/040 | Batch 0150/0448 | Cost: 28.0267
Epoch: 003/040 | Batch 0200/0448 | Cost: 27.5289
Epoch: 003/040 | Batch 0250/0448 | Cost: 27.3548
Epoch: 003/040 | Batch 0300/0448 | Cost: 27.2306
Epoch: 003/040 | Batch 0350/0448 | Cost: 27.4349
Epoch: 003/040 | Batch 0400/0448 | Cost: 27.0677
MAE/RMSE: | Current Valid: 9.88/11.63 Ep. 2 | Best Valid : 9.88/11.63 Ep. 1
Time elapsed: 17.52 min
Epoch: 004/040 | Batch 0000/0448 | Cost: 32.3310
Epoch: 004/040 | Batch 0050/0448 | Cost: 26.4519
Epoch: 004/040 | Batch 0100/0448 | Cost: 27.2297
Epoch: 004/040 | Batch 0150/0448 | Cost: 26.3693
Epoch: 004/040 | Batch 0200/0448 | Cost: 26.3385
Epoch: 004/040 | Batch 0250/0448 | Cost: 26.2421
Epoch: 004/040 | Batch 0300/0448 | Cost: 25.9381
Epoch: 004/040 | Batch 0350/0448 | Cost: 26.1091
Epoch: 004/040 | Batch 0400/0448 | Cost: 25.7755
MAE/RMSE: | Current Valid: 9.85/11.60 Ep. 3 | Best Valid : 9.85/11.60 Ep. 3
Time elapsed: 23.24 min
Epoch: 005/040 | Batch 0000/0448 | Cost: 51.7736
Epoch: 005/040 | Batch 0050/0448 | Cost: 25.6031
Epoch: 005/040 | Batch 0100/0448 | Cost: 25.1135
Epoch: 005/040 | Batch 0150/0448 | Cost: 25.1187
Epoch: 005/040 | Batch 0200/0448 | Cost: 24.4282
Epoch: 005/040 | Batch 0250/0448 | Cost: 24.9243
Epoch: 005/040 | Batch 0300/0448 | Cost: 24.7336
Epoch: 005/040 | Batch 0350/0448 | Cost: 24.5088
Epoch: 005/040 | Batch 0400/0448 | Cost: 24.3773
MAE/RMSE: | Current Valid: 9.69/11.46 Ep. 4 | Best Valid : 9.69/11.46 Ep. 4
Time elapsed: 28.75 min
Epoch: 006/040 | Batch 0000/0448 | Cost: 52.0248
Epoch: 006/040 | Batch 0050/0448 | Cost: 23.9653
Epoch: 006/040 | Batch 0100/0448 | Cost: 24.1095
Epoch: 006/040 | Batch 0150/0448 | Cost: 24.3215
Epoch: 006/040 | Batch 0200/0448 | Cost: 24.1095
Epoch: 006/040 | Batch 0250/0448 | Cost: 23.9593
Epoch: 006/040 | Batch 0300/0448 | Cost: 23.0543
Epoch: 006/040 | Batch 0350/0448 | Cost: 23.0634
Epoch: 006/040 | Batch 0400/0448 | Cost: 22.9387
MAE/RMSE: | Current Valid: 9.49/11.58 Ep. 5 | Best Valid : 9.49/11.58 Ep. 5
Time elapsed: 34.10 min
Epoch: 007/040 | Batch 0000/0448 | Cost: 36.4290
Epoch: 007/040 | Batch 0050/0448 | Cost: 22.8420
Epoch: 007/040 | Batch 0100/0448 | Cost: 22.7060
Epoch: 007/040 | Batch 0150/0448 | Cost: 22.1054
Epoch: 007/040 | Batch 0200/0448 | Cost: 21.8132
Epoch: 007/040 | Batch 0250/0448 | Cost: 21.9431
Epoch: 007/040 | Batch 0300/0448 | Cost: 21.6632
Epoch: 007/040 | Batch 0350/0448 | Cost: 21.5072
Epoch: 007/040 | Batch 0400/0448 | Cost: 21.4016
MAE/RMSE: | Current Valid: 8.17/10.10 Ep. 6 | Best Valid : 8.17/10.10 Ep. 6
Time elapsed: 39.61 min
Epoch: 008/040 | Batch 0000/0448 | Cost: 25.3900
Epoch: 008/040 | Batch 0050/0448 | Cost: 20.8931
Epoch: 008/040 | Batch 0100/0448 | Cost: 20.9932
Epoch: 008/040 | Batch 0150/0448 | Cost: 21.1095
Epoch: 008/040 | Batch 0200/0448 | Cost: 20.3234
Epoch: 008/040 | Batch 0250/0448 | Cost: 20.7889
Epoch: 008/040 | Batch 0300/0448 | Cost: 20.3783
Epoch: 008/040 | Batch 0350/0448 | Cost: 20.1591
Epoch: 008/040 | Batch 0400/0448 | Cost: 19.9577
MAE/RMSE: | Current Valid: 7.86/9.72 Ep. 7 | Best Valid : 7.86/9.72 Ep. 7
Time elapsed: 45.00 min
Epoch: 009/040 | Batch 0000/0448 | Cost: 24.7439
Epoch: 009/040 | Batch 0050/0448 | Cost: 19.3593
Epoch: 009/040 | Batch 0100/0448 | Cost: 20.1225
Epoch: 009/040 | Batch 0150/0448 | Cost: 19.7024
Epoch: 009/040 | Batch 0200/0448 | Cost: 18.3503
Epoch: 009/040 | Batch 0250/0448 | Cost: 18.8854
Epoch: 009/040 | Batch 0300/0448 | Cost: 18.7689
Epoch: 009/040 | Batch 0350/0448 | Cost: 18.5452
Epoch: 009/040 | Batch 0400/0448 | Cost: 18.0877
MAE/RMSE: | Current Valid: 7.53/9.59 Ep. 8 | Best Valid : 7.53/9.59 Ep. 8
Time elapsed: 50.40 min
Epoch: 010/040 | Batch 0000/0448 | Cost: 23.7177
Epoch: 010/040 | Batch 0050/0448 | Cost: 18.4771
Epoch: 010/040 | Batch 0100/0448 | Cost: 18.6203
Epoch: 010/040 | Batch 0150/0448 | Cost: 18.8557
Epoch: 010/040 | Batch 0200/0448 | Cost: 18.5403
Epoch: 010/040 | Batch 0250/0448 | Cost: 18.4692
Epoch: 010/040 | Batch 0300/0448 | Cost: 17.9434
Epoch: 010/040 | Batch 0350/0448 | Cost: 17.3807
Epoch: 010/040 | Batch 0400/0448 | Cost: 17.9803
MAE/RMSE: | Current Valid: 6.97/8.87 Ep. 9 | Best Valid : 6.97/8.87 Ep. 9
Time elapsed: 55.75 min
Epoch: 011/040 | Batch 0000/0448 | Cost: 23.9372
Epoch: 011/040 | Batch 0050/0448 | Cost: 17.6738
Epoch: 011/040 | Batch 0100/0448 | Cost: 17.2617
Epoch: 011/040 | Batch 0150/0448 | Cost: 17.3639
Epoch: 011/040 | Batch 0200/0448 | Cost: 17.6513
Epoch: 011/040 | Batch 0250/0448 | Cost: 17.6791
Epoch: 011/040 | Batch 0300/0448 | Cost: 18.6354
Epoch: 011/040 | Batch 0350/0448 | Cost: 17.0153
Epoch: 011/040 | Batch 0400/0448 | Cost: 16.4960
MAE/RMSE: | Current Valid: 7.05/9.01 Ep. 10 | Best Valid : 6.97/8.87 Ep. 9
Time elapsed: 61.09 min
Epoch: 012/040 | Batch 0000/0448 | Cost: 21.1666
Epoch: 012/040 | Batch 0050/0448 | Cost: 17.0104
Epoch: 012/040 | Batch 0100/0448 | Cost: 17.8315
Epoch: 012/040 | Batch 0150/0448 | Cost: 16.4211
