PyTorch Version: 2.0.1
CUDA device available: True
Using CUDA device: cuda:0
Random Seed: 1
Task Importance Weight: 0
Output Path: afad-modelfilnal1
Script: c:\users\usuario\downloads\xnap-project-ed_group_13-main\xnap-project-ed_group_13-main\starting point\model-code\afad-coral-copy.py
Epoch: 001/050 | Batch 0000/0462 | Cost: 19.6102
Epoch: 001/050 | Batch 0050/0462 | Cost: 16.3691
Epoch: 001/050 | Batch 0100/0462 | Cost: 16.1600
Epoch: 001/050 | Batch 0150/0462 | Cost: 16.1872
Epoch: 001/050 | Batch 0200/0462 | Cost: 16.0293
Epoch: 001/050 | Batch 0250/0462 | Cost: 16.0706
Epoch: 001/050 | Batch 0300/0462 | Cost: 15.4677
Epoch: 001/050 | Batch 0350/0462 | Cost: 15.6184
Epoch: 001/050 | Batch 0400/0462 | Cost: 15.0651
Epoch: 001/050 | Batch 0450/0462 | Cost: 15.1016
Epoch: 001/050 | Batch 0450/0462 | Cost: 15.1016
Time elapsed: 4.91 min
Epoch: 002/050 | Batch 0000/0462 | Cost: 19.6389
Epoch: 002/050 | Batch 0050/0462 | Cost: 15.0151
Epoch: 002/050 | Batch 0100/0462 | Cost: 14.8530
Epoch: 002/050 | Batch 0150/0462 | Cost: 14.5248
Epoch: 002/050 | Batch 0200/0462 | Cost: 14.4774
Epoch: 002/050 | Batch 0250/0462 | Cost: 14.4050
Epoch: 002/050 | Batch 0300/0462 | Cost: 14.1470
Epoch: 002/050 | Batch 0350/0462 | Cost: 13.4965
Epoch: 002/050 | Batch 0400/0462 | Cost: 13.7553
Epoch: 002/050 | Batch 0450/0462 | Cost: 13.5823
Epoch: 002/050 | Batch 0450/0462 | Cost: 13.5823
Time elapsed: 10.01 min
Epoch: 003/050 | Batch 0000/0462 | Cost: 36.9967
Epoch: 003/050 | Batch 0050/0462 | Cost: 13.5760
Epoch: 003/050 | Batch 0100/0462 | Cost: 13.7749
Epoch: 003/050 | Batch 0150/0462 | Cost: 13.2506
Epoch: 003/050 | Batch 0200/0462 | Cost: 13.1977
Epoch: 003/050 | Batch 0250/0462 | Cost: 13.0091
Epoch: 003/050 | Batch 0300/0462 | Cost: 12.8829
Epoch: 003/050 | Batch 0350/0462 | Cost: 12.4156
Epoch: 003/050 | Batch 0400/0462 | Cost: 12.6732
Epoch: 003/050 | Batch 0450/0462 | Cost: 12.5889
Epoch: 003/050 | Batch 0450/0462 | Cost: 12.5889
Time elapsed: 15.07 min
Epoch: 004/050 | Batch 0000/0462 | Cost: 45.3490
Epoch: 004/050 | Batch 0050/0462 | Cost: 12.5134
Epoch: 004/050 | Batch 0100/0462 | Cost: 12.6518
Epoch: 004/050 | Batch 0150/0462 | Cost: 11.8498
Epoch: 004/050 | Batch 0200/0462 | Cost: 11.8379
Epoch: 004/050 | Batch 0250/0462 | Cost: 12.5737
Epoch: 004/050 | Batch 0300/0462 | Cost: 11.5962
Epoch: 004/050 | Batch 0350/0462 | Cost: 12.3077
Epoch: 004/050 | Batch 0400/0462 | Cost: 12.1254
Epoch: 004/050 | Batch 0450/0462 | Cost: 11.3021
Epoch: 004/050 | Batch 0450/0462 | Cost: 11.3021
Time elapsed: 20.11 min
Epoch: 005/050 | Batch 0000/0462 | Cost: 24.6201
Epoch: 005/050 | Batch 0050/0462 | Cost: 11.7436
Epoch: 005/050 | Batch 0100/0462 | Cost: 11.3460
Epoch: 005/050 | Batch 0150/0462 | Cost: 11.7863
Epoch: 005/050 | Batch 0200/0462 | Cost: 11.7524
Epoch: 005/050 | Batch 0250/0462 | Cost: 11.1231
Epoch: 005/050 | Batch 0300/0462 | Cost: 11.2540
Epoch: 005/050 | Batch 0350/0462 | Cost: 11.0085
Epoch: 005/050 | Batch 0400/0462 | Cost: 11.0299
Epoch: 005/050 | Batch 0450/0462 | Cost: 10.7309
Epoch: 005/050 | Batch 0450/0462 | Cost: 10.7309
Time elapsed: 25.14 min
Epoch: 006/050 | Batch 0000/0462 | Cost: 41.4439
Epoch: 006/050 | Batch 0050/0462 | Cost: 10.3870
Epoch: 006/050 | Batch 0100/0462 | Cost: 10.7645
Epoch: 006/050 | Batch 0150/0462 | Cost: 10.4837
Epoch: 006/050 | Batch 0200/0462 | Cost: 10.4609
Epoch: 006/050 | Batch 0250/0462 | Cost: 10.6751
