PyTorch Version: 2.0.0
CUDA device available: True
Using CUDA device: cuda:0
Random Seed: 1
Task Importance Weight: 0
Output Path: cacd-ordinal
Script: /home/alumne/Desktop/TREBALL/Starting point/model-code/cacd-ordinal-copy.py
Epoch: 001/040 | Batch 0000/0448 | Cost: 37.1482
Epoch: 001/040 | Batch 0050/0448 | Cost: 20.5378
Epoch: 001/040 | Batch 0100/0448 | Cost: 20.2465
Epoch: 001/040 | Batch 0150/0448 | Cost: 21.1244
Epoch: 001/040 | Batch 0200/0448 | Cost: 20.9968
Epoch: 001/040 | Batch 0250/0448 | Cost: 21.8866
Epoch: 001/040 | Batch 0300/0448 | Cost: 21.4009
Epoch: 001/040 | Batch 0350/0448 | Cost: 20.8382
Epoch: 001/040 | Batch 0400/0448 | Cost: 20.5080
MAE/RMSE: | Current Valid: 9.28/11.10 Ep. 0 | Best Valid : 9.28/11.10 Ep. 0
Time elapsed: 10.35 min
Epoch: 002/040 | Batch 0000/0448 | Cost: 27.0799
Epoch: 002/040 | Batch 0050/0448 | Cost: 19.8485
Epoch: 002/040 | Batch 0100/0448 | Cost: 19.6532
Epoch: 002/040 | Batch 0150/0448 | Cost: 18.9867
Epoch: 002/040 | Batch 0200/0448 | Cost: 19.8352
Epoch: 002/040 | Batch 0250/0448 | Cost: 19.6048
Epoch: 002/040 | Batch 0300/0448 | Cost: 19.7868
Epoch: 002/040 | Batch 0350/0448 | Cost: 18.8160
Epoch: 002/040 | Batch 0400/0448 | Cost: 19.3617
MAE/RMSE: | Current Valid: 8.54/10.55 Ep. 1 | Best Valid : 8.54/10.55 Ep. 1
Time elapsed: 18.15 min
Epoch: 003/040 | Batch 0000/0448 | Cost: 29.7391
Epoch: 003/040 | Batch 0050/0448 | Cost: 18.1005
Epoch: 003/040 | Batch 0100/0448 | Cost: 18.2536
Epoch: 003/040 | Batch 0150/0448 | Cost: 17.5150
Epoch: 003/040 | Batch 0200/0448 | Cost: 17.5311
Epoch: 003/040 | Batch 0250/0448 | Cost: 18.1268
Epoch: 003/040 | Batch 0300/0448 | Cost: 18.5187
Epoch: 003/040 | Batch 0350/0448 | Cost: 19.3916
Epoch: 003/040 | Batch 0400/0448 | Cost: 17.5645
MAE/RMSE: | Current Valid: 8.59/10.60 Ep. 2 | Best Valid : 8.54/10.55 Ep. 1
Time elapsed: 25.92 min
Epoch: 004/040 | Batch 0000/0448 | Cost: 38.8129
Epoch: 004/040 | Batch 0050/0448 | Cost: 17.9431
Epoch: 004/040 | Batch 0100/0448 | Cost: 18.0201
Epoch: 004/040 | Batch 0150/0448 | Cost: 16.8930
Epoch: 004/040 | Batch 0200/0448 | Cost: 17.9501
Epoch: 004/040 | Batch 0250/0448 | Cost: 17.8043
Epoch: 004/040 | Batch 0300/0448 | Cost: 17.4790
Epoch: 004/040 | Batch 0350/0448 | Cost: 16.6396
Epoch: 004/040 | Batch 0400/0448 | Cost: 18.0413
MAE/RMSE: | Current Valid: 8.02/9.99 Ep. 3 | Best Valid : 8.02/9.99 Ep. 3
Time elapsed: 33.69 min
Epoch: 005/040 | Batch 0000/0448 | Cost: 25.9324
Epoch: 005/040 | Batch 0050/0448 | Cost: 17.4471
Epoch: 005/040 | Batch 0100/0448 | Cost: 18.0872
Epoch: 005/040 | Batch 0150/0448 | Cost: 17.1897
Epoch: 005/040 | Batch 0200/0448 | Cost: 18.1040
Epoch: 005/040 | Batch 0250/0448 | Cost: 16.3286
Epoch: 005/040 | Batch 0300/0448 | Cost: 18.4426
Epoch: 005/040 | Batch 0350/0448 | Cost: 16.6460
Epoch: 005/040 | Batch 0400/0448 | Cost: 18.0579
MAE/RMSE: | Current Valid: 8.13/10.33 Ep. 4 | Best Valid : 8.02/9.99 Ep. 3
Time elapsed: 41.47 min
Epoch: 006/040 | Batch 0000/0448 | Cost: 24.6243
Epoch: 006/040 | Batch 0050/0448 | Cost: 18.1214
Epoch: 006/040 | Batch 0100/0448 | Cost: 16.7349
Epoch: 006/040 | Batch 0150/0448 | Cost: 17.3719
Epoch: 006/040 | Batch 0200/0448 | Cost: 16.3573
Epoch: 006/040 | Batch 0250/0448 | Cost: 16.4068
Epoch: 006/040 | Batch 0300/0448 | Cost: 16.4162
