PyTorch Version: 1.13.1
CUDA device available: True
Using CUDA device: cuda:0
Random Seed: 1
Task Importance Weight: 0
Output Path: afad-model1
Script: .\afad-coral-copy50.py
Epoch: 001/050 | Batch 0000/1184 | Cost: 20.1355
Epoch: 001/050 | Batch 0050/1184 | Cost: 16.9163
Epoch: 001/050 | Batch 0100/1184 | Cost: 16.4131
Epoch: 001/050 | Batch 0150/1184 | Cost: 16.2624
Epoch: 001/050 | Batch 0200/1184 | Cost: 15.4521
Epoch: 001/050 | Batch 0250/1184 | Cost: 15.9663
Epoch: 001/050 | Batch 0300/1184 | Cost: 15.5429
Epoch: 001/050 | Batch 0350/1184 | Cost: 15.7350
Epoch: 001/050 | Batch 0400/1184 | Cost: 15.4107
Epoch: 001/050 | Batch 0450/1184 | Cost: 15.1640
Epoch: 001/050 | Batch 0500/1184 | Cost: 15.2205
Epoch: 001/050 | Batch 0550/1184 | Cost: 14.5965
Epoch: 001/050 | Batch 0600/1184 | Cost: 15.0112
Epoch: 001/050 | Batch 0650/1184 | Cost: 14.1124
Epoch: 001/050 | Batch 0700/1184 | Cost: 14.3610
Epoch: 001/050 | Batch 0750/1184 | Cost: 14.2195
Epoch: 001/050 | Batch 0800/1184 | Cost: 13.8947
Epoch: 001/050 | Batch 0850/1184 | Cost: 14.1056
Epoch: 001/050 | Batch 0900/1184 | Cost: 14.0334
Epoch: 001/050 | Batch 0950/1184 | Cost: 13.6035
Epoch: 001/050 | Batch 1000/1184 | Cost: 13.5299
Epoch: 001/050 | Batch 1050/1184 | Cost: 13.5321
Epoch: 001/050 | Batch 1100/1184 | Cost: 13.2524
Epoch: 001/050 | Batch 1150/1184 | Cost: 13.2761
Epoch: 002/050 | Batch 0000/1184 | Cost: 39.1020
Epoch: 002/050 | Batch 0050/1184 | Cost: 13.4461
Epoch: 002/050 | Batch 0100/1184 | Cost: 12.9825
Epoch: 002/050 | Batch 0150/1184 | Cost: 12.5805
Epoch: 002/050 | Batch 0200/1184 | Cost: 13.1108
Epoch: 002/050 | Batch 0250/1184 | Cost: 12.4388
Epoch: 002/050 | Batch 0300/1184 | Cost: 13.0799
Epoch: 002/050 | Batch 0350/1184 | Cost: 12.5860
Epoch: 002/050 | Batch 0400/1184 | Cost: 12.8989
Epoch: 002/050 | Batch 0450/1184 | Cost: 12.5605
Epoch: 002/050 | Batch 0500/1184 | Cost: 12.6389
Epoch: 002/050 | Batch 0550/1184 | Cost: 11.8913
Epoch: 002/050 | Batch 0600/1184 | Cost: 12.1924
Epoch: 002/050 | Batch 0650/1184 | Cost: 12.2493
Epoch: 002/050 | Batch 0700/1184 | Cost: 11.8750
Epoch: 002/050 | Batch 0750/1184 | Cost: 11.6820
Epoch: 002/050 | Batch 0800/1184 | Cost: 11.3736
Epoch: 002/050 | Batch 0850/1184 | Cost: 11.9733
Epoch: 002/050 | Batch 0900/1184 | Cost: 11.3913
Epoch: 002/050 | Batch 0950/1184 | Cost: 10.9706
Epoch: 002/050 | Batch 1000/1184 | Cost: 11.0814
Epoch: 002/050 | Batch 1050/1184 | Cost: 11.2037
Epoch: 002/050 | Batch 1100/1184 | Cost: 11.2457
Epoch: 002/050 | Batch 1150/1184 | Cost: 11.3435
Epoch: 003/050 | Batch 0000/1184 | Cost: 288.0510
Epoch: 003/050 | Batch 0050/1184 | Cost: 12.3542
Epoch: 003/050 | Batch 0100/1184 | Cost: 11.2486
Epoch: 003/050 | Batch 0150/1184 | Cost: 10.8193
Epoch: 003/050 | Batch 0200/1184 | Cost: 11.2160
Epoch: 003/050 | Batch 0250/1184 | Cost: 10.2469
Epoch: 003/050 | Batch 0300/1184 | Cost: 11.1594
Epoch: 003/050 | Batch 0350/1184 | Cost: 10.8981
Epoch: 003/050 | Batch 0400/1184 | Cost: 11.1616
Epoch: 003/050 | Batch 0450/1184 | Cost: 11.4889
Epoch: 003/050 | Batch 0500/1184 | Cost: 10.2316
Epoch: 003/050 | Batch 0550/1184 | Cost: 11.8066
Epoch: 003/050 | Batch 0600/1184 | Cost: 10.1186
Epoch: 003/050 | Batch 0650/1184 | Cost: 9.8903
Epoch: 003/050 | Batch 0700/1184 | Cost: 10.2142
Epoch: 003/050 | Batch 0750/1184 | Cost: 11.1518
Epoch: 003/050 | Batch 0800/1184 | Cost: 9.9654
Epoch: 003/050 | Batch 0850/1184 | Cost: 9.6474
Epoch: 003/050 | Batch 0900/1184 | Cost: 10.4313
Epoch: 003/050 | Batch 0950/1184 | Cost: 10.2416
Epoch: 003/050 | Batch 1000/1184 | Cost: 11.3934
Epoch: 003/050 | Batch 1050/1184 | Cost: 9.8283
Epoch: 003/050 | Batch 1100/1184 | Cost: 10.1478
Epoch: 003/050 | Batch 1150/1184 | Cost: 10.4332
Epoch: 004/050 | Batch 0000/1184 | Cost: 92.8470
Epoch: 004/050 | Batch 0050/1184 | Cost: 10.4378
Epoch: 004/050 | Batch 0100/1184 | Cost: 9.5994
Epoch: 004/050 | Batch 0150/1184 | Cost: 9.7266
Epoch: 004/050 | Batch 0200/1184 | Cost: 10.6027
Epoch: 004/050 | Batch 0250/1184 | Cost: 9.5694
Epoch: 004/050 | Batch 0300/1184 | Cost: 10.0640
Epoch: 004/050 | Batch 0350/1184 | Cost: 9.8251
Epoch: 004/050 | Batch 0400/1184 | Cost: 10.0489
Epoch: 004/050 | Batch 0450/1184 | Cost: 9.5733
Epoch: 004/050 | Batch 0500/1184 | Cost: 10.0839
Epoch: 004/050 | Batch 0550/1184 | Cost: 11.0054
Epoch: 004/050 | Batch 0600/1184 | Cost: 9.9099
Epoch: 004/050 | Batch 0650/1184 | Cost: 9.5423
Epoch: 004/050 | Batch 0700/1184 | Cost: 9.2778
Epoch: 004/050 | Batch 0750/1184 | Cost: 10.0177
Epoch: 004/050 | Batch 0800/1184 | Cost: 9.5307
Epoch: 004/050 | Batch 0850/1184 | Cost: 9.9928
Epoch: 004/050 | Batch 0900/1184 | Cost: 9.8285
Epoch: 004/050 | Batch 0950/1184 | Cost: 9.7633
Epoch: 004/050 | Batch 1000/1184 | Cost: 8.8999
Epoch: 004/050 | Batch 1050/1184 | Cost: 9.4313
Epoch: 004/050 | Batch 1100/1184 | Cost: 9.5808
Epoch: 004/050 | Batch 1150/1184 | Cost: 9.2062
Epoch: 005/050 | Batch 0000/1184 | Cost: 115.8452
Epoch: 005/050 | Batch 0050/1184 | Cost: 8.7302
Epoch: 005/050 | Batch 0100/1184 | Cost: 9.6513
Epoch: 005/050 | Batch 0150/1184 | Cost: 9.8022
Epoch: 005/050 | Batch 0200/1184 | Cost: 8.9115
Epoch: 005/050 | Batch 0250/1184 | Cost: 8.4305
